Trial 2| ARP = 0.5 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43   ,44   ,45   ,46   ,47   ,48  ,49  ,50  ,51  ,52  ,53  ,Alts,Egos,Alt_Freq      ,Ego_freq
36                 ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,18  ,18  ,0.5           ,0.5
41                 ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,22  ,19  ,0.536585365854,0.463414634146
40                 ,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,False,False,False,True ,True ,True ,True ,False,True ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,27  ,13  ,0.675         ,0.325
39                 ,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,False,True ,True ,False,True ,True ,True ,True ,False,False,True ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,29  ,10  ,0.74358974359 ,0.25641025641
42                 ,False,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,False,True ,True ,True ,False,True ,False,True ,True ,True ,True ,True ,False,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,33  ,9   ,0.785714285714,0.214285714286
36                 ,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,False,True ,False,True ,True ,True ,True ,False,False,True ,True ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,30  ,6   ,0.833333333333,0.166666666667
41                 ,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,True ,True ,False,True ,True ,True ,True ,False,True ,True ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,36  ,5   ,0.878048780488,0.121951219512
42                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,True ,False,True ,True ,True ,False,True ,True ,True ,True ,True ,False,True ,False,True ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,37  ,5   ,0.880952380952,0.119047619048
42                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,True ,True ,False,True ,True ,True ,False,True ,True ,True ,True ,False,True ,False,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,36  ,6   ,0.857142857143,0.142857142857
45                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,True ,True ,False,True ,True ,True ,False,True ,True ,True ,False,True ,True ,False,False,False,True ,     ,     ,    ,    ,    ,    ,    ,    ,37  ,8   ,0.822222222222,0.177777777778
